merge_tool;repo_name;merge_commit;runtime
IntelliMerge;junit4;f4682ce2558cdca60d12fbef39e9ca0370eba592;1608
IntelliMerge;junit4;93d773835c0c6f70bc89bbf5e4d273c289423a64;338
IntelliMerge;junit4;bb13feee21bc4a77513d50d6855c4396db9f0609;94
IntelliMerge;junit4;6bc83a0d3a67e36adc2733a125bf928c49f702f9;103
IntelliMerge;junit4;d6ccf5b0fa4e0d62eac42425a593b870af1247bd;168
IntelliMerge;junit4;b5fb9c92dfb1380b8a8b0b53aea3e7f7627ee03c;97
IntelliMerge;junit4;02fc1f509a670de3632417bbf33168989bfcf872;804
IntelliMerge;junit4;d2da6a55bca4582c9a469f568df472a00e90ddf4;993
JFSTMerge;junit4;f4682ce2558cdca60d12fbef39e9ca0370eba592;1151
JFSTMerge;junit4;93d773835c0c6f70bc89bbf5e4d273c289423a64;1742
JFSTMerge;junit4;bb13feee21bc4a77513d50d6855c4396db9f0609;127
JFSTMerge;junit4;6bc83a0d3a67e36adc2733a125bf928c49f702f9;620
JFSTMerge;junit4;d6ccf5b0fa4e0d62eac42425a593b870af1247bd;1089
JFSTMerge;junit4;b5fb9c92dfb1380b8a8b0b53aea3e7f7627ee03c;449
JFSTMerge;junit4;02fc1f509a670de3632417bbf33168989bfcf872;2613
JFSTMerge;junit4;d2da6a55bca4582c9a469f568df472a00e90ddf4;3081
IntelliMerge;javaparser;7fd7c83851fb87d727c220043bac0e4e81632182;29702
IntelliMerge;javaparser;78895ffc8f79e73315512a361982458a5ad3bb41;17981
IntelliMerge;javaparser;fc4af07a0809e462b759c4e361810a986333448d;5786
IntelliMerge;javaparser;778a4c22e2928895fd8254e979de27aeba0cc2fe;46
IntelliMerge;javaparser;91ebf36c066190d49ef4ddb9b49d281f0763b417;106
IntelliMerge;javaparser;841d8e51ad0654f3053ee3b16d2be63c447cfc4b;199
IntelliMerge;javaparser;2d01b8c39dcf5f9311e79f5cce24a1505e19e766;26
IntelliMerge;javaparser;caf5b8cb738de9f6b48857fd91f18be0617e18fc;121
IntelliMerge;javaparser;27da89e889baa05bdfa0dc71e1c3feea76fc57cc;120
IntelliMerge;javaparser;90415702d623180f30e52e3d9426d3ef10b98276;96
IntelliMerge;javaparser;31cf9e1365d59cade0bce29bd22eb58d0cf2c113;99
IntelliMerge;javaparser;8125a4b1b97f07586693d15fce865f316d294cab;193
IntelliMerge;javaparser;0ccca235068397ea4b045025034a488e78b83863;1175
IntelliMerge;javaparser;09f3f8ffc56a4c4bb5d05f93286f9e5d24121af2;2473
IntelliMerge;javaparser;a23c6aa3b83caf62c769a21bb8eaa86da8b48d28;89
IntelliMerge;javaparser;7a6972326c3d4ea8ae1d6ccc5e32ee3183a17728;45
JFSTMerge;javaparser;7fd7c83851fb87d727c220043bac0e4e81632182;33332
JFSTMerge;javaparser;78895ffc8f79e73315512a361982458a5ad3bb41;19815
JFSTMerge;javaparser;fc4af07a0809e462b759c4e361810a986333448d;11812
JFSTMerge;javaparser;778a4c22e2928895fd8254e979de27aeba0cc2fe;287
JFSTMerge;javaparser;91ebf36c066190d49ef4ddb9b49d281f0763b417;386
JFSTMerge;javaparser;841d8e51ad0654f3053ee3b16d2be63c447cfc4b;577
JFSTMerge;javaparser;2d01b8c39dcf5f9311e79f5cce24a1505e19e766;91
JFSTMerge;javaparser;caf5b8cb738de9f6b48857fd91f18be0617e18fc;158
JFSTMerge;javaparser;27da89e889baa05bdfa0dc71e1c3feea76fc57cc;404
JFSTMerge;javaparser;90415702d623180f30e52e3d9426d3ef10b98276;680
JFSTMerge;javaparser;31cf9e1365d59cade0bce29bd22eb58d0cf2c113;252
JFSTMerge;javaparser;8125a4b1b97f07586693d15fce865f316d294cab;1075
JFSTMerge;javaparser;0ccca235068397ea4b045025034a488e78b83863;4901
JFSTMerge;javaparser;09f3f8ffc56a4c4bb5d05f93286f9e5d24121af2;9267
JFSTMerge;javaparser;a23c6aa3b83caf62c769a21bb8eaa86da8b48d28;274
JFSTMerge;javaparser;7a6972326c3d4ea8ae1d6ccc5e32ee3183a17728;253
IntelliMerge;gradle;4edf06b1492a9869caf94a37324de9b85bd5af3a;1863
IntelliMerge;gradle;86d5b21a9a7844d8c5f9eed2fa46051e9294f401;797
IntelliMerge;gradle;4461420084365a139547e383da9b1944138983b8;606
IntelliMerge;gradle;010680616ec315506286d9d969bc05fa8995ff24;394
IntelliMerge;gradle;f7e1fc518b8eaad98e89e6d9f5893fe7bc01fd4d;548
IntelliMerge;gradle;5eb7f6152cad88f994a69821c88ce6a739be1ab3;1000
IntelliMerge;gradle;f463b422dfab34eacdba1237f4c6a5202f503239;158
IntelliMerge;gradle;e9c838dad6c9eef611aabb9c9a8d1974a000ba5e;96
IntelliMerge;gradle;2f33d6a34a76355fc1ddc784ec4d48b51787021a;3496
IntelliMerge;gradle;ce59878d5d8255f7a256623eec8dca6e7daded0c;427
IntelliMerge;gradle;1ee48c93883bd5b8252e8a049304845f29d3549b;257
IntelliMerge;gradle;c66229feae0d59bff6327d6053ddcab98bca3074;112
IntelliMerge;gradle;7bfafdff7f3d4f207d8f2a037320a7835c7deea1;120
IntelliMerge;gradle;3b65f8ff745f3751cd903e8a72dae0f8fd43b519;123
IntelliMerge;gradle;ee5af5c41c19b9c3cdad9efb44beeac30044b489;457
IntelliMerge;gradle;9b041cee70bf2f0f7e1e1f4bf7e99861337a614e;80
IntelliMerge;gradle;cab80bac974e4486adf9062a19dd581ce7fdb759;202
IntelliMerge;gradle;004606d6ef2c9d42d950d5b7b16eb0fcc48de172;42
IntelliMerge;gradle;19e43a0c89eb7a0d74a75fa392dce1745dac99cb;26
IntelliMerge;gradle;85a21b212cf1053faadcae341ad04e51c31ad8ff;75
IntelliMerge;gradle;7f0fc51180ada1c9255afff73098e9cf7c7da253;253
IntelliMerge;gradle;d1cb68a3e34e3f721a7127d693115b9a6b0ee016;160
IntelliMerge;gradle;d92055e3743d00fdbd1d4dbdc611739f3489721a;40
IntelliMerge;gradle;c11316f19bae4f65da1481f7bcc70847b4893f3c;194
IntelliMerge;gradle;d366534d307b9df26ca4fbac9716e7b7e8b3fd7d;115
IntelliMerge;gradle;5fdda2b7179d7139b142f2e0f3b6fc773d6e4e8d;137
IntelliMerge;gradle;bbf02b3fabc31b924c9c6025296efcc1230a29ae;328
IntelliMerge;gradle;a422d4ae9047959c3ca2025f287e8387f0d14680;626
IntelliMerge;gradle;8d3a77d4183ba21ee384e378ebc25b98bb278f0c;28
IntelliMerge;gradle;22455afaa2196fbc51160bf90ff21029daa3f960;77
IntelliMerge;gradle;0b6a326728fb89d992be86cb5bf8712cd1fba3ea;107
IntelliMerge;gradle;210b2d8202b8250b4d99a582dca57706cb2d191a;36
IntelliMerge;gradle;83d6b0a27314e908f2036d4827aa2f2da7daa2f0;75
IntelliMerge;gradle;a16336b9e1dca255e534f8ef0c0442c7164eef97;4714
IntelliMerge;gradle;95c7c0a1b80a9f101204d5ff34593dfaec6c901b;93
IntelliMerge;gradle;ac6284b8e08c16dae154eb393e9c226149324d22;201
IntelliMerge;gradle;02c854d66effda0accc50827497a6950517c4f15;158
IntelliMerge;gradle;267a9031757cd86de4079793d94b282cf2e7f00f;1339
IntelliMerge;gradle;55758a3071b9c6e1f45c40a827253ce942eb8352;80
IntelliMerge;gradle;10cb3baec04f8e341424b71212740a7589aceafa;100
IntelliMerge;gradle;e3942c8d6a46b5626fae9f0b2b1d95a83b421e58;144
IntelliMerge;gradle;f171e19bbaea324e78ddff73cfd5f28695b18919;586
IntelliMerge;gradle;62dd551f2f30f233a22da4b2527840dd0ebc0b73;206
IntelliMerge;gradle;26ef0e7a4343ee0f0a219278b51e862b3efbad4c;88
IntelliMerge;gradle;5a0f96cfdeefb32697c15baa1821a786846bec30;91
IntelliMerge;gradle;6a8f4568c8c49aed4829c3a915982ed780c3d6dc;117
IntelliMerge;gradle;a57c338c9f1baf6713219f923d4e039438c3deed;166
IntelliMerge;gradle;29694b6daeba45ef36d9549272269e50f377be7c;87
IntelliMerge;gradle;581672141877ecccd772cfdc6a945b9ba37b738e;41
